Animal,SW,BW,mNa,mNH4,mK
1,100,2.99,1.43,0.07,0.1
2,100,1.52,0.88,0.03,0.05
3,100,2.38,2.45,0.08,0.13
4,100,3.3,2.12,0.08,0.15
5,100,1.56,1.55,0.14,0.13
6,100,2.02,2.02,0.64,0.25
7,100,2.24,2.82,0.21,0.23
8,100,1.58,2.5,0.4,0.2
