Animal,SW,BW,mNa,mNH4,mK
1,100,95.49,204.02,1.49,10.85
2,100,53.81,86.81,0.74,5.64
3,100,122.04,,1.33,12.02
4,100,37.56,64.89,0.61,4.35
5,100,12.03,64.55,0.43,3.33
6,100,38.19,54.09,0.56,3.11
7,100,97.32,160.59,0.91,8.92
8,100,25,10.28,0.1,0.83
